secteur,secteur_nom,indicateur,valeur,annee,unite,sens,tendance,comparaison,cible,source,url_source
education,"Éducation (primaire, secondaire, cégep, université)",Enseignants non légalement qualifiés,"Environ 10 110 (avril 2026, écoles publiques)",2025-2026,enseignants,bas_mieux,Hausse : 9 184 en décembre 2024 (+38 % par rapport à mai 2023). Près de 6 % du personnel enseignant était en « tolérance d'engagement » en 2024-2025.,Pas de comparaison interprovinciale fiable trouvée.,,lapresse.ca,https://www.lapresse.ca/actualites/education/2026-08-26/rentree-scolaire/plus-d-argent-pour-la-qualification-d-enseignants.php
education,"Éducation (primaire, secondaire, cégep, université)",Diplomation au cégep (DEC préuniversitaire),36 % dans les 2 ans (cohorte de l'automne 2021) ; 72 % après 4 ans (cohorte 2019),cohorte 2021,%,haut_mieux,Baisse depuis 15 ans : 43 % pour la cohorte 2005. L'écart femmes-hommes se réduit (38 % c. 33 %).,Aucune (le cégep n'existe qu'au Québec).,,Institut de la statistique du Québec,https://statistique.quebec.ca/vitrine/15-29-ans/theme/education/obtention-sanction-etudes-collegiales-formation-preuniversitaire
education,"Éducation (primaire, secondaire, cégep, université)",Adultes de 25 à 64 ans titulaires d'un grade universitaire,"29,5 %",2021 (recensement),%,haut_mieux,Hausse continue depuis des décennies (une personne sur dix en 1990).,"Moyenne canadienne 32,9 % ; le Québec est sous l'Ontario, l'Alberta et la Colombie-Britannique.",,Institut de la statistique du Québec,https://statistique.quebec.ca/fr/fichier/titulaires-grade-universitaire-quebec-2021.pdf
education,"Éducation (primaire, secondaire, cégep, université)","Dépense globale par élève (préscolaire, primaire, secondaire)",13 987 $,2017-2018 (plus récente valeur publiée sur la page du ministère),$,,"+12,3 % entre 2013-2014 (12 460 $) et 2017-2018.","Ontario 14 254 $, Canada 14 253 $ ; mais une fois ajustée au coût de la vie, la dépense québécoise est la plus élevée (Ontario 12 087 $, Canada 12 956 $ en dollars ajustés).",,Gouvernement du Québec,https://www.quebec.ca/education/indicateurs-statistiques/prescolaire-primaire-secondaire/depense-globale-eleve
famille,"Famille, aînés et solidarité sociale","Taux de pauvreté (Mesure du panier de consommation, MPC)","7,0 %",2024,%,bas_mieux,"Forte baisse de 2015 (13,5 %) à 2020 (4,8 %, effet des aides d'urgence de la pandémie), remontée ensuite (7,5 % en 2023), puis 7,0 % en 2024.","Ontario 12,5 %, Canada 11,0 % (2024) : le Québec a le taux le plus bas au pays.","Cible fédérale (Stratégie canadienne de réduction de la pauvreté) : réduire la pauvreté de 50 % d'ici 2030 par rapport à 2015. La loi québécoise (2002) vise à placer le Québec parmi les nations industrialisées comptant le moins de personnes pauvres, sans taux chiffré.",Statistique Canada,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=1110013501
famille,"Famille, aînés et solidarité sociale",Taux de pauvreté des enfants (MPC),"5,8 %",2024,%,bas_mieux,"5,3 % (2022) → 6,3 % (2023) → 5,8 % (2024), selon la base 2023.","Ontario 13,2 %, Canada 11,5 % (2024).",Même cible fédérale (-50 % d'ici 2030 par rapport à 2015).,Statistique Canada,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=1110013501
famille,"Famille, aînés et solidarité sociale",Taux de pauvreté des aînés de 65 ans et plus (MPC),"3,2 %",2024,%,bas_mieux,"3,3 % (2022) → 3,8 % (2023) → 3,2 % (2024), base 2023.","Ontario 6,3 %, Canada 5,4 % (2024).",,Statistique Canada,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=1110013501
famille,"Famille, aînés et solidarité sociale",Insécurité alimentaire,"18,0 %",2024,%,bas_mieux,"Hausse marquée : 11,0 % (2019) → 19,9 % (2023), légère baisse à 18,0 % en 2024.","Ontario 25,4 %, Canada 24,0 % (2024).",,Statistique Canada,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=1310083401
famille,"Famille, aînés et solidarité sociale",Enfants de 0 à 5 ans qui fréquentent un service de garde,"76,7 %",2025,%,haut_mieux,"78,2 % (2019), 71,3 % (2022), 76,7 % (2025).","Ontario 49,8 %, Canada 57,7 % (2025).",Grand chantier pour les familles (2021) : compléter le réseau pour offrir une place à chaque enfant qui en a besoin.,Statistique Canada,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=4210010301
famille,"Famille, aînés et solidarité sociale",Enfants en attente d'une place en service de garde,30 688,31 mai 2025 (dernière donnée publiée),enfants,bas_mieux,Pas de série comparable : le mode de calcul a changé avec le nouveau portail d'inscription. En incluant les besoins futurs : 59 675 enfants.,Pas de comparaison interprovinciale équivalente.,"Grand chantier : une place pour chaque enfant (le réseau comptait environ 318 000 places au 30 juin 2026, dont 10 768 en réalisation).",Gouvernement du Québec,https://www.quebec.ca/gouvernement/politiques-orientations/plan-action-reseau-services-garde/statistiques
famille,"Famille, aînés et solidarité sociale",Parents ayant eu de la difficulté à trouver une place,"39,5 %",2025,%,bas_mieux,"30,5 % (2019) → 43,8 % (2023) → 39,5 % (2025).","Ontario 52,4 %, Canada 49,7 % (2025).",,Statistique Canada,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=4210000101
famille,"Famille, aînés et solidarité sociale",Personnes à l'assistance sociale,327 123 personnes,juillet 2026,personnes,bas_mieux,"350 467 (juillet 2024) → 340 459 (juillet 2025) → 327 123 (juillet 2026). Taux chez les 18-29 ans : 3,9 % en 2025 (7 % en 2001).",Pas de comparaison directe (programmes différents d'une province à l'autre).,,donneesquebec.ca,https://www.donneesquebec.ca/recherche/dataset/01_clientele-aux-programmes-d-assistance-sociale
logement,Logement et habitation,"Taux d'inoccupation des logements locatifs, région de Montréal","3,3 %",octobre 2025,%,,"Creux de 1,6 % en 2019, remontée à 3,5 % en 2021, rechute à 1,9 % en 2023, puis 2,5 % (2024) et 3,3 % (2025).","Toronto 3,0 %, Québec (RMR) 2,6 %, Gatineau 4,6 % (2025).",,Statistique Canada,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=3410012701
logement,Logement et habitation,"Taux d'inoccupation, région de Québec","2,6 %",octobre 2025,%,,"5,4 % (2016) → 0,9 % (2023, creux) → 2,6 % (2025).","Montréal 3,3 %, Toronto 3,0 % (2025).",,Statistique Canada,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=3410012701
logement,Logement et habitation,"Loyer moyen d'un logement de 2 chambres, région de Montréal",1 346 $,octobre 2025,$,bas_mieux,"Hausse de 77 % en 10 ans (760 $ en 2015), et de 44 % depuis 2021 (932 $).","Toronto 2 045 $, Québec (RMR) 1 276 $ (2025).",,Statistique Canada,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=3410013301
logement,Logement et habitation,Mises en chantier de logements,59 864,2025,logements,haut_mieux,"Sommet de 67 810 en 2021, creux de 38 912 en 2023, reprise en 2024 (48 713) et 2025 (59 864).","Ontario 65 376, Canada 259 028 (2025). Rapporté à la population, le Québec (environ 9 millions d'habitants) a construit davantage que l'Ontario en 2025.",,Statistique Canada,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=3410012601
logement,Logement et habitation,Ménages qui consacrent 30 % ou plus de leur revenu au logement,"16,0 % de tous les ménages ; 25,0 % des ménages locataires",2021 (recensement),%,bas_mieux,Pas de série comparable calculée ici ; le recensement de 2026 donnera une mise à jour.,"Ontario 24,1 % (locataires 38,1 %), Canada 20,9 % (locataires 32,9 %).",,Statistique Canada,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=9810024701
logement,Logement et habitation,Ménages en besoin impérieux de logement,"6,0 % des ménages (11,9 % des locataires)",2021 (recensement),%,bas_mieux,Pas de série calculée ici.,"Ontario 12,1 %, Canada 10,1 %.",,Statistique Canada,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=9810024701
justice,Justice et sécurité publique,Indice de gravité de la criminalité (IGC),"61,6",2025,indice,bas_mieux,"Stable autour de 56-58 de 2015 à 2019, hausse jusqu'à 64,8 en 2024, baisse à 61,6 en 2025.","Ontario 57,2, Canada 75,0 (2025).",,Statistique Canada,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=3510002601
justice,Justice et sécurité publique,Indice de gravité des crimes violents,"98,0",2025,indice,bas_mieux,"Forte hausse : 66,5 (2015) → 98,9 (2024), quasi stable en 2025 (98,0). Le Québec a rejoint la moyenne canadienne.","Ontario 74,9, Canada 97,2 (2025).",,Statistique Canada,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=3510002601
justice,Justice et sécurité publique,Taux d'homicides,"0,97 par 100 000",2025,par 100 000,bas_mieux,"Entre 0,8 et 1,3 depuis 2015 ; sommet de 1,29 en 2022.","Ontario 1,27, Canada 1,61 (2025) : le Québec est parmi les plus bas au pays.",,Statistique Canada,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=3510006801
justice,Justice et sécurité publique,Taux de classement pondéré des crimes,"45,6 %",2025,%,haut_mieux,"Entre 41,7 % (2015) et 45,6 % (2025), le plus haut de la décennie. Crimes violents : 62,4 %.","Ontario 39,8 %, Canada 36,6 % (2025).",,Statistique Canada,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=3510002601
justice,Justice et sécurité publique,Délai médian de traitement des causes criminelles (adultes),217 jours,2020-2021 (dernière année publiée pour le Québec),jours,bas_mieux,"Baisse de 217 jours (2013-2014) à 132 jours (2019-2020), après l'arrêt Jordan (2016) qui fixe des plafonds (18 mois en cour provinciale, 30 mois en cour supérieure), puis remontée pendant la pandémie. Statistique Canada ne publie plus de données pour le Québec depuis 2021-2022.","Canada 189 jours, Ontario 202 jours (2023-2024).","Plafonds constitutionnels de l'arrêt Jordan (Cour suprême, 2016).",Statistique Canada,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=3510002901
justice,Justice et sécurité publique,Taux d'incarcération dans les prisons provinciales,"67,8 par 100 000",2023-2024,par 100 000 adultes,,"Baisse de 77,4 (2014-2015) à 51,9 (2020-2021), puis remontée à 67,8.","Ontario 73,3 (2023-2024).",,Statistique Canada,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=3510015401
culture,"Langue, culture et identité","Français, langue parlée le plus souvent à la maison","79,1 %",2021 (recensement),%,haut_mieux,"Baisse lente et continue : 83,1 % (2001), 81,2 % (2011), 80,6 % (2016), 79,1 % (2021). L'anglais monte à 11,7 % et les autres langues à 9,1 %.",Pas de comparaison pertinente avec les autres provinces ; la comparaison utile est dans le temps.,,Statistique Canada,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=1510003301
culture,"Langue, culture et identité",Capacité de soutenir une conversation en français,"93,7 %",2021 (recensement),%,haut_mieux,"Très stable : 93,9 % (1996), 94,6 % (2001), 94,5 % (2016), 93,7 % (2021). Mais la part qui connaît le français seulement recule (56,1 % → 47,3 %) au profit du bilinguisme (37,8 % → 46,4 %).",Aucune.,,Statistique Canada,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=1510000401
culture,"Langue, culture et identité",Première langue officielle parlée : français,"84,1 %",2021 (recensement),%,haut_mieux,"Stable autour de 85-86 % de 1996 à 2016, recul à 84,1 % en 2021 ; l'anglais passe de 13,7 % à 14,9 %.",Aucune.,,Statistique Canada,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=1510003201
culture,"Langue, culture et identité","Français, langue utilisée le plus souvent au travail","79,5 % (85,0 % en incluant ceux qui utilisent français et anglais à égalité)",2021 (recensement),%,haut_mieux,"Série non calculée ici (tableau 2021 seulement). L'anglais est la langue principale de travail pour 14,1 % des travailleurs.",Aucune.,"La Charte de la langue française fait du français la langue normale et habituelle du travail, sans pourcentage cible.",Statistique Canada,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=9810051901
culture,"Langue, culture et identité",Poids du secteur culturel dans l'économie,"2,33 % (14,4 G$)",2024,% du PIB,,"2,77 % (2015) → 2,34 % (2020) → 2,33 % (2024) : la culture croît moins vite que l'économie. Emplois culturels : 166 445 en 2024 (151 869 en 2015).","Ontario 2,49 %, Canada 2,16 % (2024).",,Statistique Canada,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=3610045201
economie,"Économie, emploi et productivité",PIB réel par habitant (niveau de vie),53 812 $ par habitant (dollars enchaînés de 2017),2024,$ enchaînés 2017 par habitant,haut_mieux,"+0,9 %/an en moyenne depuis 2009; léger recul en 2023 et 2024 (−0,3 % en 2024). Selon le ministère des Finances, +4,8 % de 2018 à 2025.","Canada : 59 529 $ (2024). De 2018 à 2025 : Québec +4,8 %, Ontario +0,3 %, reste du Canada +0,2 %.",Objectif gouvernemental : réduire l'écart de richesse avec l'Ontario (rapport préélectoral 2026).,Institut de la statistique du Québec,https://statistique.quebec.ca/en/produit/publication/indicateurs-progres-produit-interieur-brut-reel-par-habitant
economie,"Économie, emploi et productivité",Écart de PIB par habitant avec l'Ontario,"9,7 % (estimation)",2025,% d'écart,bas_mieux,"Écart réduit de 13,7 % (2018) à 9,2 % (2024), puis légère remontée en 2025.","Exclure les résidents non permanents réduit l'écart : 11,9 % (vs 15,1 % en 2015) selon Desjardins.","Réduire l'écart de richesse avec l'Ontario (objectif du plan de retour à l'équilibre, rapport préélectoral 2026); aucune cible chiffrée confirmée dans les documents consultés.",desjardins.com,https://www.desjardins.com/fr/epargne-placements/etudes-economiques/quebec-ontario-rattrapage-economique-6-fevrier-2026.html
economie,"Économie, emploi et productivité",Productivité du travail (PIB par heure travaillée),"82,18 $ par heure (dollars canadiens de 2024, parité de pouvoir d'achat)",2024,$ CA 2024 PPA par heure,haut_mieux,"Croissance d'environ 1 %/an en moyenne sur plus de 40 ans. Croissance du PIB réel par emploi : +2,9 % (2021), +1,4 % (2022), −2,2 % (2023), +0,7 % (2024), −1,1 % (2025).","Canada : 86,58 $; moyenne OCDE19 : 104,37 $ (environ 22 $ de plus par heure). De 2015 à 2024 : Québec +10,2 %, Ontario +4,0 % (Desjardins).",,Centre sur la productivité et la prospérité (HEC),https://cpp.hec.ca/wp-content/uploads/2026/05/PP-2026-01.pdf
economie,"Économie, emploi et productivité",Taux d'emploi des 25 à 64 ans,"80,7 %",2025,%,haut_mieux,"Forte hausse depuis 2010 (73,6 %); stable en 2025 (80,5 % en 2024).","Reste du Canada : 78,3 % (2025). Le Québec dépasse le reste du Canada depuis 2018.",,Institut de la statistique du Québec,https://statistique.quebec.ca/en/produit/publication/indicateurs-progres-taux-emploi
economie,"Économie, emploi et productivité",Taux de chômage,"5,6 %",août 2026,%,bas_mieux,"Moyenne annuelle : 5,3 % (2024), 5,6 % (2025). Emploi en baisse de 54 000 (−1,2 %) sur 12 mois en août 2026 : le Québec est la seule province en recul.","Ontario : 6,9 %; Canada : 6,4 % (août 2026).","Prévision du ministère des Finances : 5,6 % en 2026, 4,9 % en 2027.",Statistique Canada,https://www150.statcan.gc.ca/n1/daily-quotidien/260904/dq260904a-fra.htm
economie,"Économie, emploi et productivité",Revenu disponible par habitant,38 400 $ (dollars courants),2024,$ courants par habitant,haut_mieux,"+4,9 % en 2024 en dollars courants, +2,2 % après inflation. En termes réels : +10,3 % de 2018 à 2024.","Hausse réelle 2018-2024 : Ontario +2,8 %, reste du Canada +4,3 %.",,Institut de la statistique du Québec,https://statistique.quebec.ca/fr/communique/revenu-disponible-par-habitant-croissance-accelere-dans-presque-toutes-les-regions-quebec-2024
economie,"Économie, emploi et productivité",Dépendance commerciale envers les États-Unis,"69,8 % (84,8 G$ sur 121,6 G$)",2025,% des exportations,bas_mieux,"73,6 % (2023), 73,3 % (2024), 69,8 % (2025) : première fois sous 70 % depuis 2020. Exportations vers les É.-U. : −6,9 % en 2025; vers les autres pays : en hausse.","Taux tarifaire effectif moyen américain en avril 2026 : 7,7 % pour le Québec contre 3,6 % pour le Canada (poids de l'aluminium, du bois d'œuvre, du manufacturier).",,Institut de la statistique du Québec,https://statistique.quebec.ca/en/produit/publication/commerce-international-marchandises-et-balance-commerciale-2025
economie,"Économie, emploi et productivité",Investissement privé par emploi,11 455 $ de moins par emploi que la moyenne OCDE19,2022,$ par emploi (écart avec OCDE19),haut_mieux,"Écart d'environ 9 500 $ par emploi au début des années 2000, qui s'est creusé. Investissement non résidentiel des entreprises : −0,8 % (2025), +0,2 % prévu en 2026.","Machines, matériel et propriété intellectuelle : 9 862 $ par emploi au Québec, environ le tiers de la Belgique et de la Suède.",,Centre sur la productivité et la prospérité (HEC),https://cpp.hec.ca/wp-content/uploads/2026/05/PP-2026-01.pdf
finances,Finances publiques,Solde budgétaire (au sens de la loi),"−7,7 G$ (1,2 % du PIB)",2026-2027 (prévision),G$,haut_mieux,"−7,8 G$ en 2025-2026 (réel), −5,7 G$ prévu en 2027-2028, retour à l'équilibre prévu en 2029-2030.",Une seule province affiche un déficit comptable plus faible en % du PIB en 2025-2026 (selon le ministère des Finances).,"Équilibre budgétaire en 2029-2030 (Loi sur l'équilibre budgétaire, plan de mars 2025). Écarts à résorber non encore identifiés : 1,9 G$ (2028-2029) et 2,0 G$ (2029-2030).",Gouvernement du Québec,https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/finances/publications-adm/Rapport_preelectoral/FR/MINFR_RP_2026.pdf
finances,Finances publiques,Déficit comptable,"−5,2 G$ (0,8 % du PIB)",2026-2027 (prévision),G$,haut_mieux,"−5,5 G$ en 2025-2026 (réel, amélioration de 2,2 G$ par rapport au budget); surplus prévu dès 2029-2030.",N/D,Voir solde budgétaire.,Gouvernement du Québec,https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/finances/publications-adm/Rapport_preelectoral/FR/MINFR_RP_2026.pdf
finances,Finances publiques,Dette nette en % du PIB,"38,1 % du PIB (245,9 G$)",31 mars 2026,% du PIB,bas_mieux,"Sommet de 53,4 % en 2014, 42,9 % en 2019, 37,5 % en 2023, puis légère remontée; 36,0 % prévu en 2031.","Au 31 mars 2026 (prévisions de mars 2026) : Ontario 36,9 %, moyenne des provinces 30,4 %, fédéral 46,0 %.","35,5 % du PIB en 2032-2033 et 32,5 % en 2037-2038 (plafonds légaux : 38 % et 35 %).",Gouvernement du Québec,https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/finances/publications-adm/Rapport_preelectoral/FR/MINFR_RP_2026.pdf
finances,Finances publiques,Service de la dette en % des revenus,"6,2 % (10,5 G$)",2026-2027 (prévision),% des revenus,bas_mieux,"11,4 % en 2013-2014, 7,7 % en 2018-2019; remontée prévue à 6,5 % en 2029-2030. C'est le 4e poste de dépenses après la santé, l'éducation et l'enseignement supérieur.",N/D pour l'Ontario dans les documents consultés.,Maintenir à des niveaux « historiquement bas » (pas de cible chiffrée).,Ministère des Finances du Québec,https://www.finances.gouv.qc.ca/Budget_et_mise_a_jour/budget/documents/Budget2627_PlanBudgetaire.pdf
finances,Finances publiques,Fonds des générations,"16,6 G$ (6,8 % de la dette nette)",31 mars 2026,G$,haut_mieux,"Versements de 2,3 G$ (2025-2026) à 2,9 G$ (2030-2031); solde prévu de 29,4 G$ au 31 mars 2031.","Outil propre au Québec, pas d'équivalent en Ontario.",Atteinte des cibles de dette 2032-2033 et 2037-2038.,Gouvernement du Québec,https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/finances/publications-adm/Rapport_preelectoral/FR/MINFR_RP_2026.pdf
finances,Finances publiques,Dette brute en % du PIB,"41,1 % du PIB (265,5 G$)",31 mars 2026,% du PIB,bas_mieux,"Prévue à 42,0 % en 2027, puis 41,5 % en 2031 (les investissements en infrastructures font monter la dette brute).",N/D,,Gouvernement du Québec,https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/finances/publications-adm/Rapport_preelectoral/FR/MINFR_RP_2026.pdf
finances,Finances publiques,Cote de crédit,"Moody's Aa2, S&P Global A+, Fitch AA−, Morningstar DBRS AA (low), JCR AAA — toutes avec perspective stable",6 mars 2026,cote,,Le budget 2026-2027 signale que le Québec a subi une « décision défavorable » d'une agence de notation au cours de la dernière année (agence non nommée dans l'extrait consulté).,Moody's note mieux le Québec que l'Ontario; S&P et DBRS notent mieux l'Ontario; Fitch donne la même cote aux deux.,Respect du plan de retour à l'équilibre jugé « essentiel pour soutenir la cote ».,Ministère des Finances du Québec,https://www.finances.gouv.qc.ca/Budget_et_mise_a_jour/budget/documents/Budget2627_PlanBudgetaire.pdf
finances,Finances publiques,Revenus et dépenses en % du PIB,"Revenus 25,2 %; dépenses 25,7 % du PIB",2026-2027,% du PIB (dépenses),,"Revenus : 26,1 % en 2018-2019 → 25,2 %. Dépenses : 24,4 % → 25,7 %. Retour visé à 24,4 % en 2029-2030.",N/D,"Dépenses à 24,4 % du PIB en 2029-2030 (plan de retour à l'équilibre).",Gouvernement du Québec,https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/finances/publications-adm/Rapport_preelectoral/FR/MINFR_RP_2026.pdf
energie,Énergie et environnement,Émissions de gaz à effet de serre (GES),"78,0 Mt éq. CO2 (8,8 t par habitant)",2023,Mt éq. CO2,bas_mieux,"−8,5 % depuis 1990 (85,2 Mt); −1,4 % par rapport à 2022; plus bas niveau de la série hors pandémie.","Le Québec émet 11,3 % des GES canadiens (693,9 Mt en 2023) alors qu'il compte environ 22 % de la population canadienne (calcul approximatif).","−37,5 % sous 1990 (soit environ 53,3 Mt) : cible reportée de 2030 à 2035 (annonce du 22 janvier 2026).",Ministère de l'Environnement,https://www.environnement.gouv.qc.ca/changements/ges/2023/inventaire-ges-1990-2023.pdf
energie,Énergie et environnement,Part du transport dans les émissions,"44,8 % (34,9 Mt); le transport routier seul : 33,4 % du total",2023,% des émissions,bas_mieux,"Émissions du transport : +27,7 % depuis 1990 (27,3 Mt en 1990).","Industrie : 31,7 %; agriculture : 9,9 %; bâtiments : 7,9 %.",,Ministère de l'Environnement,https://www.environnement.gouv.qc.ca/changements/ges/2023/inventaire-ges-1990-2023.pdf
