projet,secteur,cout_initial,cout_actuel,cout_initial_g,cout_actuel_g,annee_annonce,echeance_initiale,echeance_actuelle,statut,sources
Northvolt (usine de batteries en Montérégie),economie,"2,7 G$ promis par Québec et Ottawa pour la construction (septembre 2023)","270 M$ perdus par Québec ; prêt de 240 M$ pour le terrain, en partie récupéré",,,,,,abandonné,https://ici.radio-canada.ca/nouvelle/2013496/ · https://ici.radio-canada.ca/nouvelle/2189759/northvolt-fin-entente-quebec-investissements · https://www.cbc.ca/news/canada/montreal/northvolt-quebec-1.7626327
Aide publique à la filière batterie,economie,"Environ 2,2 G$ d'aide autorisée (au 30 septembre 2025)","Pertes estimées de 375,2 M$",,,,,,en partie abandonné,https://www.lesaffaires.com/dossiers/developpement-durable-etre-a-lavant-garde/filiere-batterie-6-des-11-projets-finances-par-quebec-sont-tombes-a-leau/ · https://ici.radio-canada.ca/nouvelle/2260580/filiere-batterie-quebec-rapport-vg · https://www.cbc.ca/news/canada/montreal/quebec-auditor-general-battery-sector-northvolt-9.7230352
Plan d'action 2035 d'Hydro-Québec,energie,155 à 185 G$ d'ici 2035 (novembre 2023),,,,,2035,,en réalisation,https://www.hydroquebec.com/data/a-propos/pdf/plan-action-2035.pdf
Entente sur Churchill Falls et Gull Island (Terre-Neuve-et-Labrador),energie,,"60 G$ d'investissements d'Hydro-Québec et de NL Hydro, plus environ 10 G$ du fédéral",,,,,,en négociation,https://ici.radio-canada.ca/nouvelle/2275789/churchill-falls-signature-entente-carney-frechette-wakeham · https://www.cbc.ca/news/canada/newfoundland-labrador/churchill-falls-debate-vote-9.7347352
Maisons des aînés,sante,Non publié pour l'ensemble du programme,"Environ 2,13 G$ pour 18 projets de 20 M$ et plus",,,,2022 (2 600 résidents visés),,en réalisation,https://ici.radio-canada.ca/nouvelle/1697082/ · https://www.donneesquebec.ca/recherche/dataset/67d85a7a-10af-4af0-b4da-abc64cfd735a/resource/1f3ea7fa-d8c6-4054-937d-fcc76be81803/download/donnees_ouvertes_tb_20260820.csv
Modernisation de l'Hôpital Maisonneuve-Rosemont (Montréal),sante,Non publié,Non publié,,,,,,en planification,https://www.donneesquebec.ca/recherche/dataset/67d85a7a-10af-4af0-b4da-abc64cfd735a/resource/1f3ea7fa-d8c6-4054-937d-fcc76be81803/download/donnees_ouvertes_tb_20260820.csv · https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/secretariat-du-conseil-du-tresor/publications-adm/budgets/2026-2027/6_plan_quebecois_infrastructures.pdf
"Centre hospitalier affilié universitaire (CHAU) de l'Outaouais, Gatineau",sante,Non publié,Non publié,,,,,,en planification,https://www.donneesquebec.ca/recherche/dataset/67d85a7a-10af-4af0-b4da-abc64cfd735a/resource/1f3ea7fa-d8c6-4054-937d-fcc76be81803/download/donnees_ouvertes_tb_20260820.csv · https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/secretariat-du-conseil-du-tresor/publications-adm/budgets/2026-2027/6_plan_quebecois_infrastructures.pdf
8 000 logements sociaux et abordables,logement,"1,8 G$ sur 5 ans (novembre 2023)",Pas de source officielle trouvée,,,,,,bilan non publié,https://ici.radio-canada.ca/nouvelle/2024718/enonce-economique-quebec-automne-2023
Tramway Gatineau-Ottawa,transport,Non publié,Non publié,,,,,,à l'étude,https://www.donneesquebec.ca/recherche/dataset/67d85a7a-10af-4af0-b4da-abc64cfd735a/resource/1f3ea7fa-d8c6-4054-937d-fcc76be81803/download/donnees_ouvertes_tb_20260820.csv
Boulevard Taschereau et prolongement de la ligne jaune (Rive-Sud),transport,Non publié,Non publié,,,,,,à l'étude,https://www.donneesquebec.ca/recherche/dataset/67d85a7a-10af-4af0-b4da-abc64cfd735a/resource/1f3ea7fa-d8c6-4054-937d-fcc76be81803/download/donnees_ouvertes_tb_20260820.csv
Remplacement du tablier du pont de Québec,transport,Non publié,Non publié,,,,,,en planification,https://www.donneesquebec.ca/recherche/dataset/67d85a7a-10af-4af0-b4da-abc64cfd735a/resource/1f3ea7fa-d8c6-4054-937d-fcc76be81803/download/donnees_ouvertes_tb_20260820.csv
Échangeur Saint-Pierre (Montréal),transport,Non publié,Non publié,,,,,,en planification,https://www.donneesquebec.ca/recherche/dataset/67d85a7a-10af-4af0-b4da-abc64cfd735a/resource/1f3ea7fa-d8c6-4054-937d-fcc76be81803/download/donnees_ouvertes_tb_20260820.csv
